edicitnet_code;Type.of.NBS;NBS;GU;N4C;UNL;TN;Total;Crossed.scores..from.raw.data.;Code.1;Code.2;Code.3;Code.4;Code.5;Code.6;Code.7;UC_climate;UC_water;UC_coastal;UC_green;UC_air;UC_urban;UC_participatory;UC_social;UC_health;UC_economic;ES_regulation;ES_cultural;ES_supporting;ES_provision;climate_regulation;water_regulation;water_purification;air_regulation;pollination;pest_regulation;erosion_control;aesthetic;recreational;spiritual_values;social_relations;habitat;soil_formation;nutrient.cycling;primary_production;food_fiber;fuel;biochemicals;fresh_water
9;Technological units;Planter green wall;0;1;0;1;2;"23.3.2.3; 27.1.22";23.3.2.3;27.1.22;;;;;;0,5;0;0;0,5;0,5;0;0;0;0,835;0;0,14;0,33;0;0;0;0;0;1;0;0;0;1;0;0;NA;0;0;0;0;0;0;0;0
18;Spatial units;Pocket garden / park;2;1;0;1;4;"13.2; 23.1.1.4; 13.1; 27.1.8";13.2;23.1.1.4;13.1;27.1.8;;;;0,625;0,8;0,266666667;0,9;0,625;0,85;0,625;0,825;0,8175;0,4;0,426666667;0,666666667;0,083333333;0,083333333;0,666666667;0,666666667;0;0,666666667;0,666666667;0;0,333333333;1;1;0,333333333;0;1;0;0;0;0;0,333333333;0;0
21;Spatial units;Private gardens;0;1;0;1;2;"23.1.1.7; 27.1.12";23.1.1.7;27.1.12;;;;;;1;0,75;0;1;0,5;1;0,5;0,5;0,665;0,165;0,57;0,67;0;0;1;1;1;1;0;0;0;1;1;0;NA;0;0;0;0;0;0;0;0
3;Technological units;Rain garden;1;0;1;0;2;"5.2; 19.3";5.2;19.3;;;;;;0,3;0,835;0;0,4;0,4;0,2;0,6;0,6;0,4;0,4;0,36;0,375;0,375;0,25;0,085;0,75;0,75;0;0;0;1;0,5;0;0;0,25;0,75;0;0;0;0;0;0;1
30;Interventions;Reprofiling/Extending flood plain area;0;1;2;0;3;"23.2.2.4; 20.2.2; 20.2.1";23.2.2.4;20.2.2;20.2.1;;;;;0,166666667;0,78;NA;1;0,166666667;1;0;0;0,11;0;0,28;0,5;0,875;NA;0,17;0,45;0,5;0;NA;NA;NA;0,5;NA;NA;0,5;0,875;NA;NA;NA;NA;NA;NA;NA
28;Interventions;River engineering;0;1;4;1;6;"23.2.1.2; 21.1; 21.2; 27.4.3; 21.3; 20.4";23.2.1.2;21.1;21.2;27.4.3;21.3;20.4;;0,166666667;0,78;0;1;0;0;0;0;0;0;0,288;0,334;0,6;0,25;0,248;0,38;0,55;0,2;0;0;1;0,6;1;0;0;0,75;0;0;0;0;0;0;1
29;Interventions;Rivers or streams, including re- meandering, re-opening blue corridors;1;1;3;2;7;"8.1; 23.2.1.1; 20.1; 27.5.9; 20.2.4; 20.2.3; 27.4.3";8.1;23.2.1.1;20.1;27.5.9;20.2.4;20.2.3;27.4.3;0,3;0,858571429;0;0,971428571;0,142857143;0,45;0,25;0,25;0,247142857;0,1;0,381666667;0,473333333;0,458333333;0,166666667;0,418333333;0,65;0,583333333;0,166666667;0;0;1;0,666666667;0,666666667;0;0,25;0,85;0;0;0;0,333333333;0;0;0,333333333
13;Technological units;Semi-intensive green roof;1;1;1;1;4;"4.2; 23.3.1.3; 18.3; 27.1.16";23.3.1.3;18.3;27.1.16;4.2;;;;0,833333333;1;0;0,666666667;0,666666667;0,5;0;0,5;0,556666667;0;0,51;0,46;0;0,25;0,79;0,85;0,625;0,625;0;0;0;0,75;1;0;0;0;0;0;0;0;0;0;1
26;Interventions;Soil improvement;2;3;0;2;7;"11.1; 11.3; 23.1.7.2; 23.1.7.3; 23.1.7.1; 26.1.4; 26.1.8";11.1;11.3;23.1.7.2;23.1.7.3;23.1.7.1;26.1.4;26.1.8;0,285714286;0,671428571;0;0,285714286;0,114285714;0,285714286;0,142857143;0,142857143;0,142857143;0,237142857;0,3575;0,25;0,145;0,0625;0,75;0,25;0,5;0,5;0;0;0,5;0,5;0;0,25;0;0,5;0;0,25;0;0;0;0;0,25
15;Spatial units;Street trees;2;2;2;1;7;"1.3; 1.5 ; 23.1.2.2; 23.1.1.11; 15.1.1; 15.1.2; 27.1.15";1.3;1.5;23.1.2.2;23.1.1.11;15.1.1;15.1.2;27.1.15;0,885714286;0,428571429;0;0,8;0,8;0,28;0,34;0,54;0,608571429;0,16;0,398;0,45;0,2;0;0,766;0,48;0;0,8;0,666666667;0;0;0,8;0,333333333;0;0,25;0,333333333;0;0;0;0;0;0;0
4;Technological units;Swale;1;1;1;0;3;"5.1; 23.2.2.1; 19.1";5.1;23.2.2.1;19.1;;;;;0,2;0,89;0;0,6;0,6;0,1;0;0;0,266666667;0,2;0,415;0,25;0,25;0;0,04;0,75;0,75;0,25;0;0;1;0,5;0;0;0;0,5;0;0;0;0;0;0;0
27;Interventions;Systems for erosion control;0;2;0;1;3;"23.1.6.1; 23.1.6.2; 27.4.3";23.1.6.1;23.1.6.2;27.4.3;;;;;0,666666667;0,666666667;0;1;0;0,333333333;0;0;0,22;0;0,71;0,67;0,25;0,25;1;1;1;1;0;0;1;1;1;0;NA;1;0;0;0;0;0;0;1
19;Spatial units;Urban forest;1;2;1;1;5;"1.4; 23.1.1.9; 23.1.1.12; 15.2; 27.1.13";1.4;23.1.1.9;23.1.1.12;15.2;27.1.13;;;0,92;0,8;0;0,76;0,96;0,3;0,525;0,525;0,894;0,5175;0,403333333;0,723333333;0,333333333;0,125;0,86;0,433333333;0;0,833333333;0,5;0;0;1;1;0;0,75;0,5;0;0;0;0;0;0,5;0
23;Spatial units;Urban orchard;1;0;0;1;2;"14.2; 27.1.24; ";14.2;27.1.24;;;;;;0,166666667;0,5;0;1;0,333333333;0,933333333;0,333333333;0,666666667;0,556666667;0,333333333;0,07;0,25;0,165;0,375;0;0,5;0;0;0;0;0;0;0,5;0;1;0;0;0;0,5;1;0,5;0;0
24;Interventions;Use of preexisting vegetation;0;1;0;1;2;"23.1.5.1; 27.4.8";23.1.5.1;27.4.8;;;;;;0,5;0,75;0;1;0,75;0,5;0;0,5;0,665;0;0,71;0,67;0;0,25;1;1;1;1;0;0;1;1;1;0;NA;0;0;0;0;0;0;0;1
32;Technological units;Vegetated grid pave;2;1;1;0;4;"6.3; 6.2; 23.1.2.5; 19.4.2";6.3;6.2;23.1.2.5;19.4.2;;;;0,45;0,7675;0;0,45;0,2;0,733333333;0;0;0,4175;0,4;0,236666667;0,166666667;0,083333333;0;0,026666667;0,733333333;0,75;0;0;0;0;0,166666667;0,5;0;0;0,25;0;0;0;0;0;0;0
10;Technological units;Vegetated pergola;1;1;0;0;2;"4.5; 23.3.3";4.5;23.3.3;;;;;;0,75;0,3;0;0,8;0,45;0,1;0;0;0,365;0,3;0,43;0,25;0;0;1;0;0;1;1;0;0;1;0;0;0;NA;0;0;0;0;0;0;0
8;Technological units;Vertical mobile garden;1;0;1;0;2;"3.3; 17.3.2";3.3;17.3.2;;;;;;0,9;0;0;0,9;1;0,8;0;0,4;0,5;0,6;0,265;0,375;0,25;0;0,585;0;0;0,625;1;0;0;0,75;0;0;0,25;0,5;0;0;0;0;0;0;0
